,Trial,Plans,Actions,Actions in Plans,Tot Time,Pl Time,S Time,N Eval.,N Exp.
0,1.0,3.0,28.0,47.0,18.5779,0.01387,0.00059,80.0,47.0
1,2.0,6.0,26.0,83.0,17.88864,0.02246,0.00128,174.0,83.0
2,3.0,3.0,20.0,46.0,13.97422,0.00915,0.00054,64.0,46.0
3,4.0,2.0,14.0,16.0,10.38622,0.01114,0.00021,24.0,16.0
4,5.0,4.0,34.0,60.0,23.41183,0.01237,0.00084,111.0,60.0
5,6.0,4.0,32.0,64.0,22.22277,0.01267,0.00082,102.0,64.0
6,7.0,4.0,20.0,53.0,14.55531,0.0168,0.00078,104.0,53.0
7,8.0,1.0,14.0,14.0,10.21715,0.00297,0.00018,20.0,14.0
8,9.0,4.0,28.0,49.0,19.48128,0.01199,0.00065,86.0,49.0
9,10.0,5.0,18.0,63.0,13.39229,0.01543,0.00088,112.0,63.0
