,Trial,Plans,Actions,Actions in Plans,Tot Time,Pl Time,S Time,N Eval.,N Exp.
0,1.0,4.0,30.0,62.0,19.69008,0.01699,0.00075,99.0,62.0
1,2.0,3.0,22.0,45.0,14.76596,0.00887,0.00056,78.0,45.0
2,3.0,1.0,14.0,14.0,9.80764,0.00301,0.00015,20.0,14.0
3,4.0,3.0,30.0,48.0,19.94943,0.00945,0.00058,81.0,48.0
4,5.0,3.0,28.0,47.0,18.67156,0.00946,0.00057,80.0,47.0
5,6.0,2.0,36.0,39.0,23.44157,0.0065,0.00037,51.0,39.0
6,7.0,2.0,28.0,35.0,18.88612,0.00605,0.00038,47.0,35.0
7,8.0,3.0,22.0,44.0,15.01301,0.00937,0.00055,77.0,44.0
8,9.0,1.0,14.0,14.0,9.99209,0.00302,0.00015,20.0,14.0
9,10.0,1.0,14.0,14.0,9.89766,0.003,0.00016,20.0,14.0
