,Trial,Plans,Actions,Actions in Plans,Tot Time,Pl Time,S Time,N Eval.,N Exp.
0,1.0,4.0,30.0,62.0,19.31015,0.0172,0.00078,99.0,62.0
1,2.0,3.0,22.0,45.0,14.35439,0.01395,0.0006,78.0,45.0
2,3.0,1.0,14.0,14.0,9.62808,0.00298,0.00018,20.0,14.0
3,4.0,3.0,30.0,48.0,19.63192,0.0094,0.00061,81.0,48.0
4,5.0,3.0,28.0,47.0,18.55919,0.01504,0.0006,80.0,47.0
5,6.0,2.0,36.0,39.0,23.33022,0.01107,0.00043,51.0,39.0
6,7.0,2.0,28.0,35.0,18.43632,0.01127,0.0004,47.0,35.0
7,8.0,3.0,22.0,44.0,14.93365,0.00907,0.00061,77.0,44.0
8,9.0,1.0,14.0,14.0,10.07756,0.0034,0.00016,20.0,14.0
9,10.0,1.0,14.0,14.0,9.99898,0.00806,0.00016,20.0,14.0
