,Trial,Plans,Actions,Actions in Plans,Tot Time,Pl Time,S Time,N Eval.,N Exp.
0,1.0,3.0,22.0,44.0,15.00702,0.01471,0.00155,78.0,46.0
1,2.0,2.0,18.0,28.0,12.36487,0.01167,0.00118,57.0,30.0
2,3.0,1.0,14.0,14.0,10.09056,0.00806,0.00042,20.0,14.0
3,4.0,2.0,14.0,26.0,9.99071,0.00698,0.00111,55.0,28.0
4,5.0,3.0,20.0,42.0,13.82197,0.01025,0.00178,95.0,46.0
5,6.0,4.0,38.0,52.0,25.2579,0.01236,0.00172,90.0,54.0
6,7.0,4.0,32.0,62.0,21.65255,0.01305,0.00213,105.0,64.0
7,8.0,2.0,14.0,26.0,10.07932,0.00647,0.00106,55.0,28.0
8,9.0,1.0,14.0,14.0,10.08466,0.00307,0.00042,20.0,14.0
9,10.0,1.0,14.0,14.0,9.98691,0.00313,0.00043,20.0,14.0
