,Trial,Plans,Actions,Actions in Plans,Tot Time,Pl Time,S Time,N Eval.,N Exp.
0,1.0,2.0,14.0,26.0,9.94392,0.01165,0.00102,55.0,28.0
1,2.0,2.0,14.0,26.0,9.82862,0.00675,0.00101,55.0,28.0
2,3.0,2.0,14.0,26.0,10.23908,0.00707,0.00105,55.0,28.0
3,4.0,2.0,14.0,16.0,10.39153,0.00638,0.00048,24.0,16.0
4,5.0,2.0,16.0,27.0,11.63271,0.0065,0.00105,56.0,29.0
5,6.0,2.0,22.0,30.0,15.53111,0.00657,0.00112,59.0,32.0
6,7.0,2.0,16.0,27.0,11.76039,0.01194,0.00119,56.0,29.0
7,8.0,1.0,14.0,14.0,10.28113,0.00314,0.00046,20.0,14.0
8,9.0,4.0,22.0,42.0,15.98318,0.01757,0.00169,94.0,46.0
9,10.0,5.0,14.0,49.0,10.84446,0.01498,0.00179,99.0,51.0
