,Trial,Plans,Actions,Actions in Plans,Tot Time,Pl Time,S Time,N Eval.,N Exp.
0,1.0,3.0,28.0,47.0,18.39911,0.01451,0.00057,80.0,47.0
1,2.0,6.0,26.0,83.0,17.85265,0.01767,0.00113,174.0,83.0
2,3.0,3.0,20.0,46.0,14.08384,0.00877,0.00052,64.0,46.0
3,4.0,2.0,14.0,16.0,10.43027,0.00582,0.00019,24.0,16.0
4,5.0,4.0,34.0,60.0,22.85394,0.01239,0.00077,111.0,60.0
5,6.0,4.0,32.0,64.0,21.93727,0.01184,0.00077,102.0,64.0
6,7.0,4.0,20.0,53.0,14.37045,0.01707,0.00071,104.0,53.0
7,8.0,1.0,14.0,14.0,10.27878,0.00301,0.00017,20.0,14.0
8,9.0,4.0,28.0,49.0,19.38485,0.01198,0.00059,86.0,49.0
9,10.0,5.0,18.0,63.0,13.24431,0.01424,0.00082,112.0,63.0
